"ID","Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"34157271","2018-07-21 09:01:00","250m row","0:49.1","49.1","","","250","","49","39","1:38.2","370","1572","","119","17","Lwt","Indoor Rower","No",""
"34157273","2018-07-21 08:57:00","250m row","0:47.3","47.3","","","250","","49","38","1:34.6","413","1722","","120","17","Lwt","Indoor Rower","No",""
"34157275","2018-07-21 08:53:00","500m row","1:43.6","103.6","","","500","","42","73","1:43.6","315","1383","","120","17","Lwt","Indoor Rower","No",""
"34157277","2018-07-21 08:47:00","1000m row","3:31.1","211.1","","","1000","","38","133","1:45.5","298","1324","","118","17","Lwt","Indoor Rower","No",""
"34157279","2018-07-21 08:35:00","1500m row","5:31.7","331.7","","","1500","","34","187","1:50.5","259","1191","","118","17","Lwt","Indoor Rower","No",""
"34156892","2018-07-21 08:16:00","2000m row","7:03.8","423.8","","","2000","","35","249","1:45.9","294","1312","","119","17","Lwt","Indoor Rower","No",""
"34158636","2018-07-21 00:00:00","5,000m row","22:30.0","1350","","","5000","","","","2:15.0","142","789","","","17","Lwt","Indoor Rower","No","Warm up row at Owenwood pre 2k"
"34146202","2018-07-19 00:00:00","2,000m row","6:48.5","408.5","","","2000","","","","1:42.1","329","1430","","","17","Lwt","Indoor Rower","No","4x500 1:30 Rest Piece 2"
"34146194","2018-07-19 00:00:00","2,000m row","6:50.6","410.6","","","2000","","","","1:42.6","324","1413","","","17","Lwt","Indoor Rower","No","4x500 1:30 Rest Piece #1"
"34134123","2018-07-18 11:00:00","1x20:00/3:00r row","20:00.0","1200","3:00.0","180","4200","27","21","424","2:22.8","120","713","","99","17","Lwt","Indoor Rower","No",""
"34136272","2018-07-18 00:00:00","13,245m row","1:00:00.0","3600","","","13245","","","","2:15.9","139","779","","","17","Lwt","Indoor Rower","No",""
"34127959","2018-07-17 16:27:00","2:11 row","2:11.3","131.3","","","415","","18","38","2:38.1","88","604","125","99","17","Lwt","Indoor Rower","No",""
"34127887","2018-07-17 16:20:00","2x20:00/3:00r row","40:00.0","2400","6:00.0","360","9225","158","18","734","2:10.0","159","847","154","100","17","Lwt","Indoor Rower","No",""
"34116825","2018-07-16 11:44:00","18:31 row","18:31.2","1111.2","","","3845","","21","396","2:24.4","116","699","129","113","17","Lwt","Indoor Rower","No","was originally going to do 4x20â, but had to get off erg and stretch back. tried to to as much as I could for the 20â."
"34116826","2018-07-16 11:23:00","3x20:00/3:00r row","1:00:00.0","3600","9:00.0","540","13556","214","21","1340","2:12.7","150","814","155","98","17","Lwt","Indoor Rower","No",""
"34110682","2018-07-15 00:00:00","9,354m row","40:00.0","2400","","","9354","","","","2:08.2","166","870","","","17","Lwt","Indoor Rower","No",""
"34103434","2018-07-14 14:37:00","2x20:00/3:00r row","40:00.0","2400","6:00.0","360","9237","125","19","772","2:09.9","160","849","150","101","17","Lwt","Indoor Rower","No",""
"34103441","2018-07-14 00:00:00","9,106m row","40:00.0","2400","","","9106","","","","2:11.7","153","826","","","17","Lwt","Indoor Rower","No",""
"34099028","2018-07-13 00:00:00","18,452m row","1:20:00.0","4800","","","18452","","","","2:10.0","159","847","","","17","Lwt","Indoor Rower","No",""
"34090666","2018-07-12 17:09:00","1x20:00/3:00r row","20:00.0","1200","3:00.0","180","4591","19","20","397","2:10.6","157","839","139","99","17","Lwt","Indoor Rower","No",""
